,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
4,,Africa,7439502,"+2,946","186,940",+44,"6,540,180","+2,501","712,382","4,782",,,,
47,40,Nepal,742228,"+2,321","10,429",+33,"691,299","+2,126","40,500",,"24,968",351,"3,803,015","127,931"
176,169,Yemen,7372,,"1,411",,"4,570",,"1,391",23,241,46,"203,842","6,669"
48,41,Serbia,736313,,"7,183",,"714,443",,"14,687",30,"84,657",826,"4,858,071","558,554"
6,,,721,,15,,706,,0,0,,,,
49,42,Kazakhstan,715716,"+7,337","7,988",+121,"591,964","+6,666","115,764",221,"37,610",420,"11,575,012","608,252"
120,113,Senegal,71441,+175,"1,641",+5,"55,444",+127,"14,356",55,"4,144",95,"708,969","41,124"
208,201,Diamond Princess,712,,13,,699,,0,,,,,
209,202,Saint Kitts and Nevis,708,,3,,590,,115,1,"13,203",56,"28,110","524,206"
50,43,UAE,706166,"+1,077","2,012",+3,"686,025","+1,611","18,129",,"70,440",201,"70,987,563","7,080,953"
51,44,Austria,672819,"+1,226","10,760",+3,"651,560",+629,"10,499",68,"74,226","1,187","72,867,745","8,038,885"
1,,Asia,66973767,"+170,932","982,405","+3,355","62,296,727","+158,454","3,694,635","40,858",,,,
11,4,Russia,6684531,"+21,058","173,700",+791,"5,963,054","+24,017","547,777","2,300","45,783","1,190","173,600,000","1,188,999"
121,114,Singapore,66366,+32,46,,"65,152",,"1,168",6,"11,244",8,"16,926,698","2,867,832"
177,170,Eritrea,6611,,37,,"6,546",,28,,"1,835",10,"23,693","6,578"
216,209,Falkland Islands,66,,,,63,,3,,"18,364",,"7,409","2,061,491"
178,171,Saint Lucia,6578,,95,,"5,582",,901,1,"35,639",515,"64,015","346,824"
210,203,Cayman Islands,656,,2,,648,,6,,"9,851",30,"122,764","1,843,525"
12,5,France,6533383,,"112,976",,"5,966,263",,"454,144","1,807","99,843","1,726","111,773,788","1,708,122"
